country,iso3,who_region,continents,data_source,date_updated,total_vaccinations,persons_vaccinated_1plus_dose,total_vaccinations_per100,persons_vaccinated_1plus_dose_per100,persons_fully_vaccinated,persons_fully_vaccinated_per100,vaccines_used,first_vaccine_date,number_vaccines_types_used,persons_booster_add_dose,persons_booster_add_dose_per100
Algeria,DZA,AFRO,Africa,REPORTING,9/4/2022,15267442,7840131,34.817,17.879,6481186,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",1/30/2021,4,575651,1.313
Angola,AGO,AFRO,Africa,REPORTING,10/30/2022,22990789,14220830,69.953,43.269,7814121,23.776,SII - Covishield,3/10/2021,1,1127156,3.43
Benin,BEN,AFRO,Africa,REPORTING,11/6/2022,3694544,3209393,30.475,26.473,2692837,22.212,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/29/2021,5,,
Botswana,BWA,AFRO,Africa,REPORTING,10/2/2022,2891400,1589621,122.953,67.597,1378230,58.608,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/26/2021,6,466951,19.857
Burkina Faso,BFA,AFRO,Africa,REPORTING,10/2/2022,4070678,3079151,19.474,14.73,2658480,12.718,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",6/2/2021,3,,
Burundi,BDI,AFRO,Africa,REPORTING,11/6/2022,26314,24384,0.221,0.205,23797,0.2,Beijing CNBG - BBIBP-CorV,10/18/2021,1,54,0
Cabo Verde,CPV,AFRO,Africa,REPORTING,9/25/2022,859940,356734,154.669,64.162,308720,55.526,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/18/2021,4,749,0.135
Cameroon,CMR,AFRO,Africa,REPORTING,10/30/2022,1924807,1638561,7.251,6.173,1286179,4.845,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",4/12/2021,4,65518,0.247
Central African Republic,CAF,AFRO,Africa,REPORTING,11/6/2022,1795660,1713735,37.179,35.483,1616845,33.477,"Bharat - Covaxin,SII - Covishield",3/19/2021,2,214090,4.433
Chad,TCD,AFRO,Africa,REPORTING,10/2/2022,3879297,3746216,23.617,22.807,3619014,22.032,Beijing CNBG - BBIBP-CorV,6/4/2021,1,,
Comoros,COM,AFRO,Africa,REPORTING,10/2/2022,835021,438825,96.023,50.463,397080,45.662,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",4/10/2021,3,,
Congo,COG,AFRO,Africa,REPORTING,7/31/2022,833210,695760,15.1,12.609,654119,11.854,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield",3/23/2021,4,,
Côte d’Ivoire,CIV,AFRO,Africa,REPORTING,10/23/2022,20588390,12681498,78.051,48.076,9215656,34.937,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021,5,1243021,4.712
Democratic Republic of the Congo,COD,AFRO,Africa,REPORTING,10/23/2022,6185534,6577469,6.906,7.344,5575771,6.226,SII - Covishield,4/19/2021,1,,
Equatorial Guinea,GNQ,AFRO,Africa,REPORTING,7/24/2022,488738,270109,34.836,19.252,214032,15.255,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",2/12/2021,2,4597,0.328
Eritrea,ERI,AFRO,Africa,REPORTING,7/3/2022,,0,,0,0,0,,,,,
Eswatini,SWZ,AFRO,Africa,REPORTING,9/25/2022,773579,492300,66.678,42.434,490673,42.293,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/19/2021,3,147518,12.715
Ethiopia,ETH,AFRO,Africa,REPORTING,7/31/2022,52509414,43111242,45.675,37.5,36707357,31.93,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield",3/13/2021,4,2421781,2.107
Gabon,GAB,AFRO,Africa,REPORTING,10/30/2022,569829,310842,25.602,13.966,257322,11.561,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",3/23/2021,3,2586,0.116
Gambia,GMB,AFRO,Africa,REPORTING,11/6/2022,815861,548701,33.76,22.705,454249,18.796,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/10/2021,2,31118,1.288
Ghana,GHA,AFRO,Africa,REPORTING,10/30/2022,20359448,11837459,65.521,38.096,8758799,28.188,"Gamaleya - Gam-Covid-Vac,SII - Covishield",3/2/2021,2,2329799,7.498
Guinea,GIN,AFRO,Africa,REPORTING,11/6/2022,8349923,5809781,63.581,44.239,3176770,24.19,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/5/2021,6,208537,1.588
Guinea-Bissau,GNB,AFRO,Africa,REPORTING,9/18/2022,673091,640393,34.202,32.54,404228,20.54,"Beijing CNBG - BBIBP-CorV,SII - Covishield",4/2/2021,2,745,0.038
Kenya,KEN,AFRO,Africa,REPORTING,10/30/2022,22457583,13969231,41.765,25.979,10564568,19.647,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/5/2021,5,1568659,2.917
